sprintDayCount,regressionTestDayCount,dayStartTime,programmerCount,testerCount,maxInitialProgrammerWorkTimeInHours,maxFullRunTesterWorkTimeInHours,maxQaAutomationTime,averagePassBackCount,checkRefinement,programmerToTesterRatio,peekProgTimeToPeekCheckTimeRatio,peekCheckTimeToPeekAutomationTimeRatio,peekProgTimeToPeekAutomationTimeRatio,percentageOfSprintTicketsDone,percentageOfSprintTicketsAutomated,percentageOfProgrammerTimeSpentProgramming,percentageOfProgrammingTimeForProductiveProgramming,percentageOfProgrammingTimeForRedundantProgramming,percentageOfProgrammingTimeForFluffProgramming,percentageOfProgrammingTimeForNonFluffProgramming,percentageOfProgrammerTimeSpentCodeReview,percentageOfCodeReviewTimeForProductiveCodeReview,percentageOfCodeReviewTimeForRedundantCodeReview,percentageOfCodeReviewTimeForFluffCodeReview,percentageOfCodeReviewTimeForNonFluffCodeReview,percentageOfTesterTimeSpentChecking,percentageOfCheckingTimeForProductiveChecking,percentageOfCheckingTimeForRedundantChecking,percentageOfCheckingTimeForFluffChecking,percentageOfCheckingTimeForNonFluffChecking,projectedDeadlockAsSprintCount,projectedDeadlockAsNumberOfDays,growthRate
5,2,10.5,1,1,15,15,17.5,1.5,0.8,1:1,1:1,6:7,6:7,0.14285714285714285,0,0.638095238095238,0.7999067164179104,0.20009328358208955,0.8339552238805971,0.166044776119403,0,,,,,0.27172619047619045,0.2157721796276013,0.7842278203723987,0.7842278203723987,0.2157721796276013,64,320,0.10733844468784227
10,5,10.5,2,2,5,15,17.5,2,0.2,1:1,1:3,6:7,2:7,0.0196078431372549,0,0.4786111111111111,0.8715902495647128,0.1284097504352873,0.9814277423099246,0.01857225769007545,0.09229166666666666,0.14446952595936793,0.8555304740406321,0.9766741911211437,0.023325808878856283,0.22430555555555556,0.26873065015479874,0.7312693498452012,0.9365325077399381,0.06346749226006192,7,70,0.4018575851393189
5,1,8.75,5,3,7.5,17.5,17.5,2,0.2,5:3,3:7,1:1,3:7,0.02631578947368421,0,0.4851388888888889,0.777841397079874,0.22215860292012596,0.9697967363298025,0.030203263670197537,0.07895833333333334,0.14511873350923482,0.8548812664907651,0.9868073878627969,0.013192612137203167,0.44074074074074077,0.15283613445378152,0.8471638655462185,0.8542542016806722,0.14574579831932774,8,40,0.3760504201680672
15,4,10.5,4,2,12.5,10,15,3,0.6,2:1,12.5:10,2:3,12.5:15,0.03125,0,0.5796326754385965,0.7375266020335777,0.26247339796642233,0.9527074958619058,0.04729250413809411,0.061019736842105265,0.08131176999101528,0.9186882300089847,0.9532794249775381,0.04672057502246182,0.3956140350877193,0.07815964523281596,0.9218403547671841,0.8470066518847007,0.15299334811529933,95,1425,0.09977827050997783
15,7,8.5,1,1,10,10,15,2,0.7,1:1,1:1,2:3,2:3,0.10344827586206896,0,0.6734848484848485,0.8323959505061868,0.16760404949381327,0.8420978627671541,0.1579021372328459,0,,,,,0.2411931818181818,0.35610522182960347,0.6438947781703965,0.2701217118178249,0.7298782881821752,72,1080,0.12799371809972518
15,6,11,3,2,10,10,12.5,1.5,0.3,3:2,1:1,4:5,4:5,0.12658227848101267,0,0.5688822751322752,0.8628727547520781,0.1371272452479219,0.8027088298552578,0.1972911701447422,0.059755291005291006,0.3076923076923077,0.6923076923076923,0.7459878251245158,0.2540121748754842,0.2937996031746032,0.3795373965895661,0.6204626034104339,0.16849569474928247,0.8315043052507175,15,225,0.31132871855478644
20,5,9,1,1,5,5,5,4,0.2,1:1,1:1,1:1,1:1,0.16666666666666666,0,0.6485,0.4653045489591365,0.5346954510408636,0.5516576715497301,0.44834232845026983,0,,,,,0.3745833333333333,0.1328142380422692,0.8671857619577308,0.3452725250278087,0.6547274749721913,32,640,0.14905450500556172
15,4,8,5,2,20,17.5,15,2.5,0.3,5:2,8:7,17.5:15,4:3,0.038461538461538464,0,0.6475657894736843,0.7158725320871008,0.28412746791289917,0.9490331538487589,0.050966846151241155,0.033092105263157895,0.1709741550695825,0.8290258449304175,0.9436713055003313,0.05632869449966865,0.4025767543859649,0.08293612964728313,0.9170638703527169,0.8442053656543647,0.15579463434563529,20,300,0.2221163012392755
5,2,9,6,5,5,5,10,2,0.8,6:5,1:1,1:2,1:2,0.13725490196078433,0,0.4594742063492063,0.6602612544532009,0.3397387455467991,0.8804922811184281,0.11950771888157184,0.0933531746031746,0.1902231668437832,0.8097768331562167,0.8358129649309245,0.16418703506907545,0.2571428571428571,0.21064814814814814,0.7893518518518519,0.6965277777777777,0.3034722222222222,232,1160,0.08541666666666667
20,6,9.75,2,1,5,12.5,20,4,0.3,2:1,2:5,12.5:20,1:4,0,0,0.4985176282051282,0.8448123442899622,0.15518765571003776,1,0,0.09142628205128205,0.019281332164767746,0.9807186678352322,1,0,0.36770833333333336,0.003922423185879277,0.9960775768141207,1,0,,,
